Title,Year,Genre,Rating,Duration,Description,Stars,Directors
Generasi Micin,2018,"Comedy, Drama",5.7,88,"For Kevin (Kevin Anggara), school is a boring place. He only has three best friends in his class. One day, Kevin found a mysterious website that challenged him to do naughty things at school.","['Kevin Anggara', 'Clairine Clay', 'Morgan Oey', 'Joshua Suherman']",['Fajar Nugros']
Street Society,2014,Action,6.7,97,"The reigning champion of Indonesia's illegal street racing forms a Street Society with the fellow super car owners while his archenemy, the heir to a Surabaya crime syndicate, keeps pushing him for a rematch after their embarrassing loss.","['Edward Akbar', 'Marcel Chandrawinata', 'Edward Gunawan', 'Wulan Guritno']",['Awi Suryadi']
Lupus IV: Anak Mami Sudah Besar,1990,Comedy,6.8,94,Add a Plot,"['Ryan Hidayat', 'Nike Ardilla', 'Paramitha Rusady']",['Achiel Nasrun']
"Kajeng Kliwon, Nightmare in Bali",2019,Horror,6.4,76,"AGNI, a doctor and native Balinese prepares her wedding reception with her fiance, NICO. A beheading case is linked to a supernatural disturbance has befallen the troubled couple. A tale of love, jealousy and a mythical Bali Legend.","['Amanda Manopo', 'Christ Laurent', 'Atikah Suhaime', 'Vincent Andrianto']",['Bambang Drias']
99 Cahaya di Langit Eropa Part 2,2014,"Adventure, Drama",6.6,102,"This movie is a sequel of ""99 Cahaya di Langit Eropa"". This movie revealed the secrets of the history of the development of Islam in other part of continental Europe.","['Acha Septriasa', 'Abimana Aryasatya', 'Nino Fernandez', 'Alex Abbad']",['Guntur Soeharjanto']
Semesta,2018,Documentary,7.2,88,"Through the lens of faiths and cultures in seven provinces in Indonesia, this documentary follows individuals who strive to address climate change.","['Soraya Cassandra', 'Marselus Hasan', 'Agustinus Pius Inam', 'Almina Kacili']",['Chairun Nissa']
Kiamat Sudah Dekat,2003,"Comedy, Drama",6.9,116,"Fandy (Andre Taulany), A Malaysian-born rocker finally met and fell in love with Sarah (Ayu Pratiwi), a beautiful and veiled girl, daughter of a religious Haji Romli (Deddy Mizwar).","['Nazar Amir', 'Chintami Atmanegara', 'Aldo Banar', 'Dicky Chandra']",['Deddy Mizwar']
Tilik,2023,"Drama, Comedy",8.3,,"Bu Tejo becomes her husband's campaign's head of success team for the village head nomination. It turns out, she must face Pak Hartono, Pak Tejo's nemesis who is not afraid to play dirty ...                See full summary »","['Siti Fauziah', 'Ibnu Widodo', 'Seteng Sadja', 'Brilliana Desy D.']",[]
Ajian Ratu Laut Kidul,1991,"Drama, Fantasy, Horror",5.9,80,Magician Anggoro mangles sorceress Lestari and banishes her to the woods. She becomes suicidal until Ki Jagasatru comes from the South Seas with a recipe for revenge.,"['Ratu Dhenok', 'Syarief Friant', 'Karsiman Gada', 'Johny Indo']",['Sisworo Gautama Putra']
Dongkrak Antik,1982,Comedy,7.4,90,"This time, Dono, Kasino, Indro and Mat Solar work as internship employees at a quite prestigious hotel managed by Paulus.","['Meriam Bellina', 'Idjah Bomber', 'Pitradjaya Burnama', 'Anis Chan']",['Arizal']
Reuni Z,2018,"Comedy, Horror",4.2,98,"After 20 years graduated from high school, students of Zenith having a reunion. Zombie outbreak started in the reunion, infected most of the group. The survivors needs to find a way out to escape from zombies that surrounding the school.","['Soleh Solihun', 'Tora Sudiro', 'Dinda Kanyadewi', 'Ayushita']","['Soleh Solihun', 'Monty Tiwa']"
Akibat Pergaulan Bebas,2010,Drama,5.4,,Add a Plot,"['Smitha Anjani', 'Uli Auliani', 'Leylarey Lesesne', 'Sabai Morscheck']",['Nayato Fio Nuala']
Perjanjian dengan Iblis,2019,Horror,5.6,80,"Annisa married Bara, a widower with a daughter named Lara. Bara takes a picnic to the island that is still rarely visited by tourists, Bengalor Island, so that his wife and child could get ...                See full summary »","['Shandy Aulia', 'Artika Sari Devi', 'Aghi Narottama', 'Basmalah Gralind']",['Ardy Octaviand']
Sakral,2018,Horror,5.9,90,"Melina and Daniel, married, are expecting the birth of their twin daughters, Flora and Fiona. Unfortunately, only Flora survives. But Flora has grown up as a quiet child, reluctant to interact with her parents.","['Olla Ramlan', 'Teuku Zacky Azwar', 'Makayla Rose Hilli', 'Erika Carlina']",['Tema Patrosza']
Gita Cinta dari SMA,1979,Romance,8.2,,Add a Plot,"['Adisoerya Abdi', 'Lisa Dona', 'Yessy Gusman', 'Pong Harjatmo']",['Arizal']
Keluarga Slamet,,"Comedy, Drama",,,Add a Plot,"['Indro Warkop', 'Desy Ratnasari', 'Onadio Leonardo', 'Abun Sungkar']",['Rako Prijanto']
Hubungi Agen Gue!,2023– ,"Comedy, Drama",,,Four artist managers at a talent agency company in Jakarta call themselves agents who are very passionate about their work above their personal lives.,"['Donny Damara', 'Lydia Kandou', 'Hannah Al Rashid', 'Yoga Pratama']",[]
Setannya Kok Beneran?,2008,Comedy,4.9,90,"With their career acting as ghost-busting paranormals in a fake reality show is about to end, the three phony losers accepted an invitation for a friendly meet and greet in a village out of...                See full summary »","['Ence Bagus', 'Indra Birowo', 'Dimas Fadli', 'Jill Gladys']",['Muchyar Syamas']
Bidadari-Bidadari Surga,2012,Drama,6.9,,Laisa struggles with the hardship of caring for her family and her siblings while searching for love. She falls for Dharma but finds that he's already married,"['Nirina Zubir', 'Nino Fernandez', 'Nadine Chandrawinata', 'Henidar Amroe']",['Soni Gaokasak']
Homecoming,VI) (2019,Drama,7.0,93,A married couple on their Eid homecoming journey undergo a life-changing event that forces them to confront their marital woes.,"['Asmara Abigail', 'Putri Ayudya', 'Ibnu Jamil', 'Yoga Pratama']",['Adriyanto Dewo']
Mekah I'm Coming,2019,"Comedy, Drama",7.6,93,Eddy tries to prove to Eni's father that he's worth it to be Eni's husband by going hajj to Mecca. But something along the way makes the journey has its obstacles.,"['Rizky Nazar', 'Michelle Ziudith', 'Jennifer Coppen', 'Ephy Sekuriti']",['Jeihan Angga']
Lukisan Berlumur Darah,1988,Horror,6.4,86,"A school teacher and his wife relocate to Indonesia and move into a new home, only to discover the former owner had been killed by burglars and now the place is haunted.","['Tiara Jacquelina', 'Dharma Harun Al-Rashid', 'Yurike Prastica', 'Piet Pagau']",['Torro Margens']
Mau Jadi Apa?,2017,"Comedy, Drama",7.1,103,1997. Soleh Solihun successfully entered the University of Padjadjaran. But the ugly campus conditions and their remote location made Soleh doubt his choice.,"['Soleh Solihun', 'Anggika Bolsterli', 'Aurélie Moeremans', 'Boris Bokir']","['Soleh Solihun', 'Monty Tiwa']"
Tali Pocong Perawan 2,2012,Horror,4.8,84,"Tania was a closeted girl who secretly liked Jordy. So she could only watch helplessly when Grace approached Jordy. One day, Janet, her neighbor, gave the idea to use the Virgin Pocong Rope to bewitch Jordy.","['Wiwid Gunawan', 'Icha Anisa', 'Framly Daniel', 'Bella Esperance']",['Volkan Maida']
Darah dan doa,1950,"Drama, War",6.7,150,It tells the story of an Indonesian revolutionary who falls in love with one of his Dutch prisoners.,"['Ella Bergen', 'Faridah', 'R.D. Ismail', 'Del Juzar']",['Usmar Ismail']
Hantu Binal Jembatan Semanggi,2009,Horror,4.5,,Rico is a college student who in a drunken stupor has an automobile accident on Clover Bridge. He may may not] have killed someone. Rico doesn't remember because he lost 80% of his memory ...                See full summary »,"['Okie Agustina', 'Cynthiara Alona', 'Wicky Husein', 'Idea Pasha']",['Gunung Nusa Pelita']
Benyamin Biang Kerok,1972,Comedy,7.3,,Add a Plot,"['Benyamin S.', 'Ida Royani', 'Hamid Arief', 'Connie Sutedja']",['Nawi Ismail']
The Butterfly,2007,Drama,6.4,85,"Vano (Andhika Pratama), Tia (Poppy Sovia), and Desi (Debby Kristy) has met and become best friends since the beginning of the college. Tia who is boyish becomes really protective toward ...                See full summary »","['Debby Kristy', 'Andhika Pratama', 'Poppy Sovia']",['Nayato Fio Nuala']
Nightmares and Daydreams,,"Drama, Sci-Fi, Thriller",,,The Ordinary people encountering strange phenomena,"['Ario Bayu', 'Lukman Sardi']",[]
The Tarix Jabrix 3,2011,"Comedy, Drama",7.8,92,"The Tarix Jabrix got the biggest challenge of their lives. They have to negotiate with their old enemies, The Road Devils motorcycle gang so as not to cause more riots in Bandung City.","['Tria Changcut', 'Erick Changcut', 'Dipa Changcut', 'Alda Changcut']",['Iqbal Rais']
Koki-Koki Cilik 2,2019,"Comedy, Drama, Family",6.8,91,"Cooking Camp is opened again. The little chefs who come to the camp are surprised that the camp was closed. The problems are Chef Grant's credibility is doubted as a teacher at the camp, and the landowner wants to sell the camp's land.","['Ringgo Agus Rahman', 'M. Adhiyat', 'Faras Fatik', 'Alifa Lubis']",['Viva Westi']
Epen Cupen the Movie,2015,Comedy,5.4,91,"Celo a young man from Papua, prompting his father to go look for the lost twin brother since childhood. Celo set off by following the instructions of the dream of his father who saw his ...                See full summary »","['Klemen Awi Celo', 'Babe Cabita', 'Marissa Nasution', 'Edward Gunawan']",['Irham Acho Bahtiar']
Hujan Bulan Juni,2017,"Drama, Romance",7.5,96,"Pingkan (Velove Vexia), a young lecturer in Japanese Literature University of Indonesia, has the opportunity to study in Japan for two years. Sarwono (Adipati Dolken) is sad hearing the news that he will be left behind by Pingkan.","['Adipati Dolken', 'Velove Vexia', 'Baim Wong', 'Surya Saputra']",['Hestu Saputra']
The Window,I) (2016,Drama,8.7,122,Add a Plot,"['Titi Rajo Bintang', 'Eka Nusa Pertiwi', 'Yoga Pratama', 'Haydar Salishz']",['Nurman Hakim']
Dear Stranger,2022,"Drama, Romance",9.4,,"Bintang (17), Zalika (17), and Surya (19) have been friends since childhood. Their friendship began with Zalika's move next door to Bintang and Surya's house, who are brothers. Bintang, ...                See full summary »","['Rey Bong', 'Ashira Zamita', 'Umay Shahab', 'Prilly Latuconsina']",[]
Me vs. Mami,2016,Comedy,7.6,93,"A girl and her mother go on a road trip to Padang, West Sumatera, to visit her grandmother that will change the meaning of their relationship.","['Cut Mini Theo', 'Irish Bella', 'Dimas Aditya', 'Mike Lucock']",['Ody C. Harahap']
Ritual,II) (2019,Horror,5.0,72,"Peter, his wife Jenny, their daughter Lisa, and her lover Michael are preparing for a long weekend. They plan to camp in a remote and deserted area outside Jakarta. In the journey, an ...                See full summary »","['Salshabilla Adriani', 'Richelle Georgette Skornicki', 'Ferry Ardiansyah', 'Alzi Markers']",['Findo Purwono']
Rembulan Tenggelam di Wajahmu,2019,Drama,6.8,93,"A lonely and rich man were sick in the hospital, and someone brings him back to the past to find an answers of his questions that he shouted to God, and finally get the answers one by one.","['Arifin Putra', 'Juan Bione Subiantoro', 'Donny Alamsyah', 'Anya Geraldine']",['Danial Rifki']
Garuda di Dadaku,2009,"Drama, Sport",6.8,97,Talented 12-year-old boy dreams of becoming a great soccer player despite his loving grandfather's stern disapproval.,"['Emir Mahira', 'Aldo Tansani', 'Marsha Aruan', 'Ikranagara']",['Ifa Isfansyah']
3 Nafas Likas,2014,Drama,7.6,120,"Set in Indonesia, through 1930's to 2000. 3 Nafas Likas is the extraordinary story of an extraordinary woman, named Likas who, then achieved numerous remarkable and great success in her ...                See full summary »","['Atiqah Hasiholan', 'Vino G. Bastian', 'Arswendy Bening Swara', 'Jajang C. Noer']",['Rako Prijanto']
Rentang Kisah,2020,"Biography, Drama",6.1,98,"From the true experiences of Gita Savitri Devi, an Indonesian student in Germany who discovered Islam in an Islamic minority country and found the closeness of the family when they were far apart.","['Beby Tsabina', 'Juan Bione Subiantoro', 'Donny Damara', 'Cut Mini Theo']",['Danial Rifki']
King,2009,"Drama, Family, Sport",7.2,103,"King tells story about the dream of a village boy named Guntur (Rangga Raditya) to become an international badminton player like his and his father idol, Liem Swie King.","['Rangga Raditya', 'Lucky Martin', 'Surya Saputra', 'Valerie Thomas']",['Ari Sihasale']
Kirun + Adul,2009,Comedy,6.8,,"When the daughter of the Vice President is kidnapped, two best friends who live in Bali, are the prime suspects. In fact, the Vice President's daughter who actually takes advantage of them because she is angry with her father.","['Ricky Harun', 'Abdurrahman Arif', 'Permata Sari Harahap', 'Reza Rahadian']",['Jose Poernomo']
Lawang Sewu,2007,Horror,5.0,112,"A group of six teenagers find themselves haunted and terrorized by a Kuntilanak when they try to find their missing friend inside Lawang Sewu, a supposedly haunted building in Semarang.","['Thalita Latief', 'Marcell Darwin', 'Melvin Giovanie', 'Tsania Marwa']",['Arie Azis']
Frontier Sumatra,2019,Documentary,,60,Add a Plot,[],[]
Terowongan Casablanca,2007,Horror,4.2,,"supposedly a haunted tunnel in the 80s, where people claimed a vengeful spirit roams the tunnel; this story is about a woman who is sexually killed by a gang of people, and her body is thrown into the tunnel, to seek individual revenge.","['Donny Arifin', 'Ki Joko Bodo', 'Nino Fernandez', 'Jupiter Fortissimo']",['Nanang Istiabudi']
Calon Bini,2019,"Comedy, Drama",7.2,96,"Ningsih (Michelle Ziudith) is forced to marry Sapto (Dian Sidik) by her father, but she doesn't care about that and fled to Jakarta. In there, she falls in love with the person that she met on the internet.","['Michelle Ziudith', 'Rizky Nazar', 'Dian Sidik', 'Ramzi']",['Asep Kusdinar']
The East,2015–2019,Comedy,8.0,,The series depicts the situation behind the scenes of the station's in-house infotainment program called Entertainment News as well as the personal situation of its crew.,"['Gista Putri', 'Sahira Anjani', 'Tanta Ginting', 'Caesar Gunawan']",[]
Tali Pocong Perawan,2008,Horror,3.6,105,A jealous young man tries to steal his brother's girlfriend using the power of an ancient myth.,"['Dewi Perssik', 'Ramon Y. Tungka', 'Ibnu Jamil', 'Endhita']",['Arie Azis']
Anak Langit,2017–2020,Family,7.1,,Add a Plot,"['Stefan William', 'Anthony Xie', 'Hana Saraswati', 'Mario Maulana']",[]
Sundul Gan: The Story of Kaskus,2016,"Biography, Comedy, Drama",8.6,89,"At Seattle, when realizing Andrew Darwis is a man who created Kaskus, Ken Dean, a man with great passion quickly persuade Andrew to come back to Indonesia so they can expand this site ...                See full summary »","['Ahmad Affandy', 'Pamela Bowie', 'Andre Bablo Fardanish', 'Albert Halim']",['Naya Anindita']
Badai Pasti Berlalu,1977,Drama,8.0,115,"Based on the famous novel, this is a story about Siska, a young woman, who gets heartbroken, as her fiancé broke off their engagement. Her brother introduces her to his friend Leo, who is ...                See full summary »","['Roy Marten', 'Christine Hakim', 'Slamet Rahardjo', 'Rahayu Effendi']",['Teguh Karya']
Kulari ke Pantai,2018,"Adventure, Comedy, Family",7.6,112,Two girls in their preteens embark on a road trip with one of the girl's mother.,"['Maisha Kanna', ""Lil'li Latisha"", 'Marsha Timothy', 'Varun Tandjung']",['Riri Riza']
Titisan Setan: Chapter Two,2021,Horror,5.8,81,Add a Plot,"['Jeff Smith', 'Stefhani Zamora Husen', 'Bryan Andrew', 'Maura Gabrielle']",['Agusti Tanjung']
Rectoverso,2013,"Action, Drama, Romance",7.3,110,"Rectoverso is an omnibus or anthology of Indonesian movie nuances of love. This film is an adaptation of a work of music albums Dewi ""Dee"" Lestari titled Rectoverso which was released in 2008.","['Asmirandah', 'Fauzi Baadila', 'Indra Birowo', 'Yama Carlos']","['Olga Lydia', 'Rachel Maryam', 'Happy Salma', 'Cathy Sharon', 'Marcella Zalianty']"
Nyai: A Woman from Java,2016,Drama,7.3,90,Add a Plot,"['Annisa Hertami', 'Rudy Corenz', 'Cahwati Sugiarto', 'Gunawan Maryanto']",['Garin Nugroho']
Iblis,2016,Horror,,82,"A husband buys a new house for his wife, hoping to reconcile their marriage. However, when they move in, they start to experience insanely terrifying incidents with the presence of a horrifying creature in the house.","['Vonny Anggraini', 'Sabrina Athika', 'Stevie Domminique Jollie', 'Betet Kunamsinam']",['Rano Dimas']
AJISAKA: The King and the Flower of Life,,"Animation, Action, Comedy",,,A sacred kid fulfills an old prophecy by fighting against an immortal evil king who rules the world by absorbing magic flowers energy.,[],[]
Negeri Dongeng,2017,Documentary,8.8,98,Add a Plot,[],[]
Setan Munafik,,"Horror, Mystery, Thriller",,,Group of Bunch of youngster who like a shopisticated world try to find a group of their friends who lost in a haunted house 5 years ago.,"['Faizal Hussein', 'Nabil Ahmad', 'Jalaluddin Hassan', 'Ashraf Sinclair']","['Yosua Rocky', 'Majed Salleh']"
Fortune Cookies,2013–2014,Romance,7.3,50,A closeness to a childhood friend begins to turn into something more. Fathin (Yuki Kato) and Rayhan (Stefan William) have grown up next door to each other in the same neighborhood.,"['Giorgino Abraham', 'Yuki Kato', 'Stefan William', 'Nasya Marcella']",[]
Escape from Hellhole,1983,"Action, Thriller",3.8,100,A Punjabi girl getting tricked into living with a big time pimp who abducts virgins and forces them to submit to his hymen busting ways.,"['Gudi Sintara', 'Dicky Zulkarnaen', 'Siska Widowati', 'Ramli Ivar']",['Maman Firmansyah']
Love in Game,2022,"Comedy, Drama",5.9,,Add a Plot,"['Gabriel Prince', 'Livy Renata', 'Julian Jacob', 'Rachel Florencia']",['Rendy Herpy']
5 cewek jagoan,1980,Action,5.2,95,"A conscientious scientist develops the ""deadliest explosive the world has ever known"" but soon it falls into the hands of an evil criminal, Bruto. The five angels band together to stop Bruto's reign of terror.","['Yatti Octavia', 'Lydia Kandou', 'Debbie Cinthya Dewi', 'Dana Christina']",['Danu Umbara']
Perburuan,2019,"Drama, History, War",4.4,98,"Six months after PETA's failure to fight Nippon, Hardo returns to his village in Blora. His presence is smelled by Nippon, tracked and pursued. In a chase one day and night before the ...                See full summary »","['Adipati Dolken', 'Ayushita', 'Ernest Samudera', 'Khiva Iskak']",['Richard Oh']
Tanda Tanya,2011,Drama,7.0,100,"A story of interconnecting lives in modern day Semarang, all struggling with the differences of their faiths.","['Reza Rahadian', 'Revalina S. Temat', 'Agus Kuncoro', 'Endhita']",['Hanung Bramantyo']
Bukan Cinta Biasa,2009,"Comedy, Romance",6.3,110,Add a Plot,"['Ferdy Element', 'Wulan Guritno', 'Olivia Lubis Jensen', 'Tike P.']",['Benni Setiawan']
Bayangan Cinta,1987,"Drama, Romance",,85,"Ex-lovers Auzy and Akhbar who meet again after 18 years. Although still very much in love, the two cannot resume their relationship as Akhbar is now a married man. However, they can't seem ...                See full summary »","['Lydia Kandou', 'Fauziah Ahmad Daud', 'Eman Manan', 'Rina Hassim']",['Abdi Wiyono']
Satu Amin Dua Iman,2021,Drama,8.0,,"Torn between Hanan and Aryan, Aisyah has to stand her ground whilst making the right choice for her future; to be with someone who share the same faith with her, or one who once sat with her in the same prayer, and love.","['Dimas Anggara', 'Nikita Willy', 'Sonia Alyssa', 'Kiki Narendra']",[]
Doa Mengancam,2022,Drama,8.0,,"A man threatened God because his prayers were not answered. But when it was actually granted, his life immediately changed drastically.","['Kevin Ardilova', 'Bisma Karisma', 'Tissa Biani Azzahra', 'Sonia Alyssa']",[]
Godaan Cinta,1994,Drama,7.4,60,Add a Plot,"['Malfin Shayna', 'Gitty Srinita', 'Windy Chindyana', 'Rara Azis']",['Atok Suharto']
Kesempatan Kedu(d)a,2018,"Comedy, Drama",6.8,99,"Abi (Raffi Ahmad) is a corporate slave. His wife, Maya (Dinda Kanya Dewi), a super ambitious career woman, has an affair with Abi's boss.","['Raffi Ahmad', 'Zizan Razak', 'Cut Meyriska', 'Marsha Aruan']",['Awi Suryadi']
Pulang,2022– ,"Drama, Romance",8.8,,"Dewi, the only child of Intan and Rahmat, has a dream to live in Canada. When she succeeds, her life in Canada comes to a screeching halt when she is diagnosed with a rare disease: ...                See full summary »","['Della Dartyan', 'Cok Simbara', 'Ira Wibowo', 'Dwi Sasono']",[]
Runaway,III) (2014,"Action, Crime, Drama",7.1,90,Two young lovers in Hong Kong were trapped and tried to run away from their problems and reality.,"['Tatjana Saphira', 'Al Ghazali', 'Edward Akbar', 'Dewi Irawan']",['Guntur Soeharjanto']
Rumput Tetangga,2019,"Comedy, Drama",7.3,104,"A housewive, who was once the most popular and outstanding student in school, experiencing a crisis of self-confidence as she feels she could not be a good wife and mother. One day, something miracle happens which changing her destiny.","['Titi Kamal', 'Donita', 'Gading Marten', 'Tora Sudiro']",['Guntur Soeharjanto']
Kangen,2007,"Drama, Romance",6.4,90,"Two lovebirds separated by fate, and has to deal with a heartbreaking feeling of longing for each other.","['Bunga Citra Lestari', 'Reuben Elishama', 'Reuben E. Hadju', 'Nino Fernandez']",['Nayato Fio Nuala']
Lorong,2019,"Horror, Thriller",5.5,93,"Waking up after giving birth, Mayang gets tragic news from her husband Reza: their firstborn has died. Both experience tremendous depression; Mayang just cannot accept it. Everyone at the ...                See full summary »","['Winky Wiryawan', 'Prisia Nasution', 'Nova Eliza', 'T. Rifnu Wikana']",['Hestu Saputra']
Stay with Me,I) (2016,Drama,7.6,,"Boy Dimas (Boy William) and Deyna (Ully Triani) are a couple who promise to stay together forever. One day, Deyna gets the news that her parents died in a plane crash. The incident forces her to go to Europe and live with her Aunt.","['Boy William', 'Ully Triani', 'Natasha Ratulangi', 'Firman Subagja']",['Rudy Soedjarwo']
Anak Perawan di Sarang Penjamun,1962,Drama,,127,Add a Plot,"['Bambang Hermanto', 'Rachmat Hidayat', 'Bambang Irawan', 'R.D. Ismail']",['Usmar Ismail']
Zerre: Pendekar Ufuk Timur,2021,"Action, Drama",8.2,106,"Zerre, from rural Papua, dreams of becoming a fighter. He learns silat from Bhumi, a former silat athlete. Living with limitations, Zerre has achievements so that he gets a scholarship to ...                See full summary »","['Yudas Itlay', 'Oliver Harold', 'Aditya Zoni', 'Aisyah Aqilah']",['R. Jiwo Kusumo']
Kembang Kantil,2018,Horror,6.3,80,In order to attend the theater performance Alisa (Irish Bella) goes to the house of his brother Anton (Fadika Royandi) and his wife Santi (Nafa Urbach). In the house Alisa meets Tania (...                See full summary »,"['Irish Bella', 'Nafa Urbach', 'Sarwendah Tan', 'Richelle Georgette Skornicki']",['Ubay Fox']
Godain Kita Dong,1989,Comedy,6.4,89,"Stuck on their uncle's chicken farm, two bumbling men get jealous of their cousin Don and his out-of-place American girlfriend.","['Dono Warkop', 'Kasino Warkop', 'Indro Warkop', 'T.M. Tarsan']",['Hadi Poernomo']
Kupu Malam,2022,Drama,7.5,,"Laura is a beautiful, smart college student who works as a prostitute. One of her clients becomes obsessed with her but she refuses him due to her principles. She tries to start a new life however the past keeps chasing her.","['Michelle Ziudith', 'Rizky Nazar', 'Kenny Austin', 'Lukman Sardi']",[]
Aisyah: Biarkan Kami Bersaudara,2016,Drama,8.8,,"A Muslim woman who become teacher in a Catholic village in Atambua, East Nusa Tenggara.","['Laudya Cynthia Bella', 'Agung Isya Almasie Benu', 'Wilhelmina Seo Enok', 'Lydia Kandou']",['Herwin Novianto']
Jangan Sendirian,2021,"Horror, Mystery, Thriller",5.6,84,"4 (four) characters take turns experiencing scary events when they are alone. The terror of these spirits that spread fear, panic, and hysteria just came unexpectedly.","['Henry Boboy', 'David John Schaap', 'Robby Sugara', 'Jasi Michelle Tumbel']",['X. Jo']
Quickie Express,2007,"Comedy, Drama, Romance",6.9,117,Jojo is an unemployed. He decides to become a gigolo for an escort company. Everything works smoothly until he falls in love with a medical student.,"['Sandra Dewi', 'Reuben Elishama', 'Ria Irawan', 'Melissa Karim']",['Dimas Djayadiningrat']
Lowo Ijo,1987,Horror,,82,"Two sisters try to avenge their parents deaths at the hands of a rapist / murderer, who's in possession of a talisman that gives him immortality.","['Wenny Rosaline', 'Yurike Prastica', 'Yan Bastian', 'Angel D. Memah']",['Dasri Jacob']
Stip & Pensil,2017,Comedy,6.4,98,Four rich high school students try to proof that they are not as arrogant as people in the school talk about.,"['Ernest Prakasa', 'Tatjana Saphira', 'Indah Permatasari', 'Ardit Erwandha']",['Ardy Octaviand']
Sundel Bolong Desa Wingit,2023,Horror,,,Story of a cursed village. Every three days someone died after experiencing a trance before killing themselves.,"['Chantika Cescha', 'Ki Daus', 'Gea Alfira', 'Rayhan Al-Fatih']",['Wijaya Sanuaji']
Manusia Setengah Salmon,2013,"Comedy, Romance",5.7,100,"Dika and his family want to move out of his house for a reason, and Dika doesn't feel good about it. But as time goes, his feeling is getting better about his new house while he met his high school crush after a long time.","['Raditya Dika', 'Kimberly Ryder', 'Eriska Rein', 'Bucek Depp']",['Herdanius Larobu']
Bima-S,2020–2021,"Animation, Action, Adventure",7.9,25,"Satria, a teenager who is spontaneous, brave, and likes to explore. However, he was able to transform into Bima S.","['Surry', 'Fitra Hartono', 'Mohammad Romli', 'Melati']",[]
Suzzanna: Santet Ilmu Pelebur Nyawa,,"Drama, Fantasy, Horror",,,Add a Plot,['Luna Maya'],['Rocky Soraya']
After School Horror,2014,Horror,5.0,77,"Rino, 3rd grade high school student, tells scary stories about the locked old toilet door in the school to his juniors who are in the probation for candidates of OSIS (school organization) leaders.","['Indah Permatasari', 'Maxime Bouttier', 'Christ Laurent', 'Pamela Bowie']",['Nayato Fio Nuala']
Selamanya,2007,"Drama, Romance",7.1,,"Aristha (Julie Estelle) met his old lover, Bara (Dimas Seto), at the police station. Bara, who feels guilty because Aristha plunges into the world of drugs, trying desperately to pull ...                See full summary »","['Masayu Anastasia', 'Julie Estelle', 'Dimas Seto']",['Ody C. Harahap']
Generasi D'Bijis,2023– ,Comedy,,,Add a Plot,"['Aurora Ribero', 'Tora Sudiro', 'Gary M. Iskak', 'Randy Martin']",[]
Legenda Sundel Bolong,2007,Horror,5.6,91,"Imah's boss Danapati rapes her. She tries to hide the fact from her husband Imah, but soon strange things start to happen as people are found dead with holes in their backs. People believe it is the work of the ghost Sundel Bolong.","['Uli Auliani', 'Baim', 'Jian Batari', 'Iyuth Pakpahan']",['Hanung Bramantyo']
Keira,2018,Drama,8.4,84,"Keira is never aware of all her actions, including her peculiarity. All of the mysteries she faces slowly torture her. The dominant side that she never understands could appear any time, ...                See full summary »","['Angelica Simperler', 'Ray Sahetapy', 'Ferly Putra', 'Rocky Jeff']",['Harry Dagoe']
Misteri dari Gunung Merapi,1990,"Action, Horror",5.2,90,Add a Plot,"['Fendy Pradana', 'Ida Iasha', 'Farida Pasha', 'Yurike Prastica']",['Liliek Sudjio']
Leap,III) (2018,"Documentary, Adventure, Drama",5.7,95,A one year experiment seeks to discover whether coaching can help ordinary people achieve extraordinary things.,"['Hisham Abdalla', 'Tara Antler', 'Clinton Callahan', 'Jack Canfield']","['Kasia Wezowski', 'Patryk Wezowski']"
Sawadikap,2016,Horror,,88,"Ocep gets tickets for a vacation to Thailand with his friends, Bryan and Ariel. When they arrive at Bangkok they take part a traditional celebration where the spirits of the dead go back to the earth.","['Ilona Cecilia', 'Kiky Drajat', 'Lionil Hendrik', 'Zacky Zimah']",['Andreas Sullivan']
Naga Bonar Jadi 2,2007,Comedy,7.1,118,"A sequel to the 1986 movie ""Nagabonar"" telling the story about the relationship between Nagabonar, a pickpocket who became a self-proclaimed general during Indonesia's war of independence, and his only son Bonaga.","['Deddy Mizwar', 'Tora Sudiro', 'Wulan Guritno', 'Mike Lucock']",['Deddy Mizwar']
Alexandria,2005,Drama,6.6,110,"Bagas keeps his feeling towards his childhood friend, Alexandria, but he is unable to express it out. Things changed when Bagas realizes that his best friend, Rafi, already moved ahead and declared his love for Alexandria.","['Fachry Albar', 'Marcel Chandrawinata', 'Julie Estelle']",['Ody C. Harahap']
"Yang Patah Tumbuh, Yang Hilang Berganti",2022,Drama,,85,"Yasmin's happiness in managing a small inn which she inherited from her late mother, with Darto, disappears after the arrival of Hardiman, Yasmin's father, after leaving his family for a long time.","['Indro Warkop', 'Clara Bernadeth', 'Donny Damara', 'Endah Laras']",['Herwin Novianto']
17 Selamanya,2022– ,"Drama, Fantasy",8.6,,"Putra is up for a shocking truth of Dawai, a girl he has a crush on, who apparently live an immortal life. More to his surprise, there's another astonishing revelation from Dawai, unraveling from someone closer to home.","['Rizky Nazar', 'Syifa Hadju', 'Stefhani Zamora Husen', 'Wanda Hamidah']",[]
Bidadari Jakarta,2010,Drama,6.5,90,Add a Plot,"['Fahmi Aditya', 'Ayang', 'Poppy Bunga', 'Keith Foo']",['Nanang Istiabudi']
